Year,price,Jurisdiction
2010,333.9183495145631,"NATIONAL"
2011,318.03173076923076,"NATIONAL"
2012,297.9426923076923,"NATIONAL"
2013,291.81298076923076,"NATIONAL"
2014,286.43048076923077,"NATIONAL"
2015,285.1131730769231,"NATIONAL"
2016,293.32730769230767,"NATIONAL"
2017,294.85596153846154,"NATIONAL"
2018,295.00048076923076,"NATIONAL"
2019,294.2202884615385,"NATIONAL"
2020,294.3064423076923,"NATIONAL"
