unitid,instnm,stabbr,st_fips,zip,latitude,longitude,ugds,adm_rate,year
365213,Autry Technology Center,OK,40,73703-2506,36.419122,-97.89719,380,0.9273,2018
365374,Canadian Valley Technology Center,OK,40,73036-9117,35.509208,-97.881967,333,NA,2018
365480,Meridian Technology Center,OK,40,74074-1899,36.106981,-97.108414,867,NA,2018
366623,Northwest Technology Center-Alva,OK,40,73717,36.786733,-98.675711,139,NA,2018
368364,Southwest Technology Center,OK,40,73521,34.668194,-99.341161,275,NA,2018
375656,Chisholm Trail Technology Center,OK,40,73764-6335,35.84221,-98.20184,34,NA,2018
375683,Gordon Cooper Technology Center,OK,40,74804,35.380321,-96.908013,738,NA,2018
375726,Kiamichi Technology Center-McAlester,OK,40,74501,34.924173,-95.745999,485,NA,2018
413820,Yukon Beauty College Inc,OK,40,73099,35.508293,-97.74668,18,NA,2018
414966,Phillips Theological Seminary,OK,40,74116-5612,36.167983,-95.868146,NA,NA,2018
418296,Indian Capital Technology Center-Muskogee,OK,40,74403-1889,35.774921,-95.311895,1237,NA,2018
418302,Western Technology Center,OK,40,73624-1469,35.352842,-99.180998,171,NA,2018
418320,Mid-America Technology Center,OK,40,73095-0210,34.912498,-97.364174,872,NA,2018
418339,Northeast Technology Center-Pryor,OK,40,74361,36.309116,-95.425056,179,NA,2018
418348,Eastern Oklahoma County Technology Center,OK,40,73020-9017,35.516891,-97.266991,87,NA,2018
418357,Wes Watkins Technology Center,OK,40,74883-6155,35.233305,-96.266262,48,NA,2018
420459,Northeast Technology Center-Afton,OK,40,74331,36.730369,-94.929123,200,NA,2018
428019,Green Country Technology Center,OK,40,74447-1217,35.63293,-95.9365,36,0.5354,2018
428143,Platt College-Lawton,OK,40,73501,34.605627,-98.389416,211,NA,2018
431017,Mid-Del Technology Center,OK,40,73110-4825,35.455237,-97.402578,89,NA,2018
432074,Northeast Technology Center-Kansas,OK,40,74347,36.209828,-94.778431,140,NA,2018
439570,Community Care College,OK,40,74145,36.101615,-95.905178,121,NA,2018
439932,Shawnee Beauty College,OK,40,74801,35.356032,-96.912574,29,NA,2018
443058,Family of Faith Christian University,OK,40,74802,35.462234,-96.901413,20,0.25,2018
445258,Platt College-OKC-Memorial,OK,40,73134,35.611128,-97.563751,314,NA,2018
447379,Platt College-Moore,OK,40,73160,35.339154,-97.478449,386,NA,2018
448424,Broken Arrow Beauty College,OK,40,74133,36.060431,-95.852816,54,NA,2018
449728,ATA College,OK,40,74146,36.098554,-95.856621,85,NA,2018
450401,Clary Sage College,OK,40,74145,36.117058,-95.903835,348,NA,2018
455929,Academy of Hair Design-Oklahoma City,OK,40,73134-8055,35.612955,-97.557189,38,NA,2018
456560,Northeast Technology Center-Claremore,OK,40,74017,36.326822,-95.634154,97,NA,2018
469629,Oklahoma Technical College,OK,40,74145-1122,36.098687,-95.905011,132,NA,2018
480967,College of the Muscogee Nation,OK,40,74447-0917,35.635288,-95.936439,205,NA,2018
483276,JB's Hair Design and Barber College,OK,40,73139,35.405519,-97.52838,46,NA,2018
483665,Paul Mitchell the School-Ardmore,OK,40,73401-3912,34.181867,-97.144647,27,NA,2018
483717,River Valley Cosmetology Institute,OK,40,74953-5260,35.044172,-94.634062,21,NA,2018
486567,Paul Mitchell the School-Tulsa,OK,40,74134-1410,36.132259,-95.82023,193,NA,2018
488828,Totally Cosmo School of Modern Cosmetology,OK,40,74728,34.027834,-94.738026,25,NA,2018
488934,Tulsa Technology Center,OK,40,74145,36.113428,-95.887481,1245,NA,2018
493691,Premier Academy of Cosmetology,OK,40,74501-4143,34.941596,-95.766472,NA,NA,2018
17706530,Columbia College - Fort Sill,OK,40,735039009,NA,NA,NA,NA,2018
20750001,University of Oklahoma - Douglass Learning Center,OK,40,735013025,NA,NA,NA,NA,2018
36662301,Northwest Technology Center-Fairview,OK,40,73737,NA,NA,NA,NA,2018
41829601,Indian Capital Technology Center-Sallisaw,OK,40,74955,NA,NA,NA,NA,2018
41829602,Indian Capital Technology Center-Stilwell,OK,40,74960,NA,NA,NA,NA,2018
41829603,Indian Capital Technology Center-Tahlequah,OK,40,74464,NA,NA,NA,NA,2018
206817,Bacone College,OK,40,74403-1597,35.777082,-95.334046,275,0.7201,2019
206835,Oklahoma Wesleyan University,OK,40,74006-6299,36.717453,-95.95671,864,0.5751,2019
206862,Southern Nazarene University,OK,40,73008,35.513295,-97.629504,1616,NA,2019
206905,Pontotoc Technology Center,OK,40,74820,34.7484,-96.683815,70,NA,2019
206914,Cameron University,OK,40,73505-6377,34.606487,-98.434163,3466,NA,2019
