unitid,instnm,stabbr,st_fips,zip,latitude,longitude,ugds,adm_rate,year
483665,Paul Mitchell the School-Ardmore,OK,40,73401-3912,34.181867,-97.144647,36,NA,2017
483717,River Valley Cosmetology Institute,OK,40,74953-5260,35.044172,-94.634062,37,NA,2017
486567,Paul Mitchell the School-Tulsa,OK,40,74134-1410,36.132259,-95.82023,190,NA,2017
488828,Totally Cosmo School of Modern Cosmetology,OK,40,74728,34.027834,-94.738026,31,NA,2017
488934,Tulsa Technology Center,OK,40,74145,36.113428,-95.887481,1163,NA,2017
493691,Premier Academy of Cosmetology,OK,40,74501-4143,34.941596,-95.766472,NA,NA,2017
17706530,Columbia College - Fort Sill,OK,40,735039009,NA,NA,NA,NA,2017
20750001,University of Oklahoma - Douglass Learning Center,OK,40,735013025,NA,NA,NA,NA,2017
36662301,Northwest Technology Center-Fairview,OK,40,73737,NA,NA,NA,NA,2017
41829601,Indian Capital Technology Center-Sallisaw,OK,40,74955,NA,NA,NA,NA,2017
41829602,Indian Capital Technology Center-Stilwell,OK,40,74960,NA,NA,NA,NA,2017
41829603,Indian Capital Technology Center-Tahlequah,OK,40,74464,NA,NA,NA,NA,2017
