quality_type,price,url,Year,Jurisdictions,measure_unit
High Quality,463,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United%20States/Louisiana.html,2010,Louisiana,Average ($/Oz.)*
Medium Quality,341.82,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United%20States/Louisiana.html,2010,Louisiana,Average ($/Oz.)*
High Quality,411.25,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United%20States/Maine.html,2010,Maine,Average ($/Oz.)*
Medium Quality,256.67,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United%20States/Maine.html,2010,Maine,Average ($/Oz.)*
High Quality,434,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United%20States/Maryland.html,2010,Maryland,Average ($/Oz.)*
Medium Quality,233.38,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United%20States/Maryland.html,2010,Maryland,Average ($/Oz.)*
High Quality,441.64,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United%20States/Massachusetts.html,2010,Massachusetts,Average ($/Oz.)*
Medium Quality,339.46,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United%20States/Massachusetts.html,2010,Massachusetts,Average ($/Oz.)*
High Quality,384.53,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United%20States/Michigan.html,2010,Michigan,Average ($/Oz.)*
Medium Quality,161.58,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United%20States/Michigan.html,2010,Michigan,Average ($/Oz.)*
High Quality,447.56,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United%20States/Minnesota.html,2010,Minnesota,Average ($/Oz.)*
Medium Quality,427.21,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United%20States/Minnesota.html,2010,Minnesota,Average ($/Oz.)*
High Quality,445,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United%20States/Mississippi.html,2010,Mississippi,Average ($/Oz.)*
Medium Quality,204.73,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United%20States/Mississippi.html,2010,Mississippi,Average ($/Oz.)*
High Quality,434.53,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United%20States/Missouri.html,2010,Missouri,Average ($/Oz.)*
Medium Quality,225.67,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United%20States/Missouri.html,2010,Missouri,Average ($/Oz.)*
High Quality,281.79,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United%20States/Montana.html,2010,Montana,Average ($/Oz.)*
Medium Quality,251.25,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United%20States/Montana.html,2010,Montana,Average ($/Oz.)*
High Quality,422.08,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United%20States/Nebraska.html,2010,Nebraska,Average ($/Oz.)*
Medium Quality,117.98,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United%20States/Nebraska.html,2010,Nebraska,Average ($/Oz.)*
High Quality,334,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United%20States/Nevada.html,2010,Nevada,Average ($/Oz.)*
Medium Quality,345,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United%20States/Nevada.html,2010,Nevada,Average ($/Oz.)*
